B,BRUXEL,05,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES ECOLE SUPERIEURE DES ARTS,50.84371845,4.347295259003596,Bruxelles,RUE DU MIDI 144,1000,www.arba-esa.be
B,BRUXEL,07,Conservatoire royal de Bruxelles,50.8393332,4.355549,Bruxelles,Rue de la Régence 30,1000,www.conservatoire.be
B,BRUXEL,100,IEPSCF-UCCLE,NULL,NULL,Bruxelles,Gatti de gamong,1180,www.iepscf-uccle.be
B,BRUXEL,15,Ecole nationale supérieure des arts visuels de La Cambre,50.8179343,4.3755429,Bruxelles,Abbaye de La Cambre 21,1000,www.lacambre.be
B,BRUXEL,28,Ecole supérieure des Arts de l'image LE 75,50.844439449999996,4.440036702434767,Woluwe-Saint-Lambert,"avenue Jean-François Debecker, 10",1200,www.le75.be
B,BRUXEL,82,ECOLE PRATIQUE DES HAUTES ETUDES COMMERCIALES,50.8501219,4.448598,Bruxelles,AVENUE KONRAD ADENAUER 3,1200,www.ephec.be
B,BRUXEL,83,Haute Ecole Francisco Ferrer,50.8405664,4.3425442,Brussels,"rue de la Fontaine, 4",1000,www.he-ferrer.eu
B,BRUXEL,84,HAUTE ECOLE GALILEE,50.8582263,4.3680595,Bruxelles,RUE ROYALE 336,1030,www.galilee.be
B,BRUXEL,85,Haute Ecole Libre de Bruxelles - Ilya Prigogine,50.8210481,4.34002438351172,Brussels,"Avenue Besme, 97",1190,http://www.helb-prigogine.be
B,BRUXEL,86,HAUTE ECOLE ICHEC - ECAM - ISFSC,50.83847235,4.408596707486037,Bruxelles,BOULEVARD BRAND WHITLOCK 6,1150,http://www.he-ichec-isfsc.be
B,BRUXEL,87,Haute Ecole Léonard de Vinci,50.8499279,4.453844665975611,Bruxelles,Place de l'Alma 2,1200,http://www.vinci.be
B,BRUXEL,88,Haute Ecole Lucia de Brouckère,NULL,NULL,Bruxelles,"Avenue Emile Gryzon, 1",1070,www.heldb.be
B,BRUXEL,90,ECOLE SUPERIEURE DES ARTS SAINT-LUC DE BRUXELLES,50.82657075,4.3491533084902185,Bruxelles,PLACE MORICHAR 30,1060,www.stluc-bruxelles-esa.be
B,BRUXEL,91,Ecole de Recherche Graphique - Ecole Supérieure des arts,50.8260743,4.3518062,Saint-Gilles,Rue d'Irlande 57,1060,www.erg.be
